Name of the Disease,Days,Breakfast,Mid-meal,Lunch,Evening,Dinner,Caloric_intake_for_adult
Diabetic,Sunday,"Broken wheat upma - 1 Cup, Green Chutney - 1 tablespoon",Buttermilk - 1 glass,"Egg Chapathi/ Panneer /chapathi - 2 , Tomato onion sabzi -1 cup",Channa - 1 Cup,"Horse gram dosa - 2, Veg Sambar - ½ Cup",1200 -1500
Diabetic,Monday,"Vegetable Dosa -2 , Mint chutney - ½ Cup",Tomato Soup - 1 cup,"Lemon rice - 1 Cup, Green Leafy Vegetable salad - 1/2 cup , Egg white - 1",Carrot & Cucumber slices-1 katori,"Spinach chapathi - 2, Veg gravy -½ Cup",1200 -1500
Diabetic,Tuesday,"Bajra dosa - 2 , Sambar -½ Cup",Cucumberâ- 1,"Rice -1 Cup, Dhal -1/2 Cup, Spinach salad - 1/2 Cup, Capsicum vegetable - 1/2 Cup, Egg white - 1",Mixed sprouts - 1 Katori,"Multigrain chapathi - 2, peas gravy -1/2 Cup",1200 -1500
Diabetic,Wednesday,"Fingermillet idly - 2, Tomato chutney -½ Cup",Green tea-1 cup,"Chapathi -2, Soya gravy -1/2 Cup, Dhal - 1/2 Cup, Egg white omelette - 1","Nuts (Almonds (2) , Walnuts (3) , Pumpkin Seeds (1 teaspoon))","Horse gram dosa - 2, Ridge gourd chutney -2 tablespoon",1200 -1500
Diabetic,Thursday,"Lemon Aval Upma - 1 Cup, Capsicum chutney - 1 tablespoon",Vegetable soup - 1 cup,"Peas pulao - 1 Cup, Green salad -1/2 Cup, Snake gourd raita - 1Katori, Egg white - 1",Sprouted green gram - 1 Katori,"Chapathi - 2, Palak gravy - 1/2 Cup",1200 -1500
Diabetic,Friday,"Green gram dosa - 2, Veg Sambar -½ Cup","Cucumber slices - 1, Katori","Brown rice - 1 Cup, Sambar - 1/2 Cup, Spinach sabzi -1/2 Cup,Egg white - 1",Green tea - 1 cup,"Oats idly - 2, Tomato Chutney - 2 tablespoon",1200 -1500
Diabetic,Saturday,"Vegetable Dosa - 2, Coriander chutney -½ Cup",Buttermilk - 1 glass,"Rice - 1 Cup, Dhal -1/2 Cup, Boiled Ash gourd -1/2 Cup, Egg white -1",Nuts -1 tablespoon,"Spinach Pulka - 2, Vegetable Gravy - 1/2 Cup",1200 -1500
Blood Pressure,Sunday,2 paratha(aloo/mooli/onion) with 2 tsp groundnut chutney,1 banana,"1 cup rice,2 chapathi,fish-tuna (100gm) curry,cabbage and green peas sabji","1 cup boiled green gram sprouts with lemon, 1 cup green tea","3 chapathi,1/2 cup bitter gourd(karela) sabji,1/2 cup vegetable salad",1200 - 2000
Blood Pressure,Monday,1/2 cup Oats in 1 glass toned milk,1 wedge(100gm) watermelon,"4 chapathi,1/2 cup cluster beans curry,1/2 cup capsicum paneer sabji, 1 glass buttermilk","Avocado(50gm) whole wheat bread(3 slices) sandwich, 1 cup green tea","3 chapathi,1/2 cup Snake gourd sabji,1/2 cup vegetable salad",1200 - 2000
Blood Pressure,Tuesday,"3 rice dosa,1/2 cup sambhar,1tsp pudina chutney",100gm pomegranate,"1 cup rice,2 chapathi,1/2 cup yam (jimikand) curry,1/2 cup ivy gourd(parmal) sabji,1glass buttermilk","3 Cracker biscuits, 1 cup tea/milk(toned)","3 chapathi(multigrain-wheat;jowar;bajra),lauki sabji,1/2 cup vegetable salad",1200 - 2000
Blood Pressure,Wednesday,"Vegetable sandwich with 4 whole wheat bread slices,cucumber,tomato, onion,lettuce",1 medium size apple,"1 cup rice,2 chapathi,1 portion(100gm) grilled/stewed-tuna fish,1/2 cup rajmah curry","1 bowl unsalted popcorn,1 cup tea/milk(toned)","3 chapathi,1/2 cup raw banana sabji,1/2 cup vegetable salad",1200 - 2000
Blood Pressure,Thursday,"1 cup broken wheat upma with vegetables,1 glass toned milk/1 cup tea",100gm musk melon,"4 chapathi,1/2 cup french beans curry,1/2 cup colocasia(arbi) sabji, 1 glass buttermilk","1/2 cup Sweet potato salad, 1 cup green tea","3 chapathi,1/2 cup ridge gourd(thori) sabji,1/2 cup vegetable salad",1200 - 2000
Blood Pressure,Friday,"4 rice Idly, 1/2 cup sambhar,1 tsp coconut chutney,1 glass milk/ 1 cup tea",1 medium size pear,"4 chapathi,1/2 cup lauki dal,1/2 cup green peas and paneer sabji,1 glass buttermilk","1 small fistful (40 gm) of peanuts, almonds, walnuts,1 cup green tea","3 chapathi,1/2 cup bhindi sabji, 1 cup vegetable salad",1200 - 2000
Blood Pressure,Saturday,"1 cup roasted oats upma with vegetables,1 glass toned milk/1 cup tea",1 medium size guava,"1 cup rice,2 chapathi,aloo brinjal sabji,1/2 cup tomato dal,1 glass buttermilk","1 cup boiled bengalgram with lemon, 1 cup green tea","3 chapathi(multigrain-wheat;jowar;bajra),1/2 cup tinda sabji, 1/2 cup vegetable salad",1200 - 2000
High Cholesterol,Sunday,"4 Idly, 1/2 cup sambhar,1 tsp coconut chutney,1 glass milk(toned)/ 1 cup tea",1 medium size apple,"1 cup rice,2 chapathi,fish (100gm) curry,cabbage and green peas sabji","1 cup boiled green gram sprouts with lemon, 1 cup green tea","3 chapathi,1/2 cup cauliflower sabji,1/2 cup vegetable salad",1800 - 2400
High Cholesterol,Monday,1/2 cup Oats in 1 glass milk(toned),1 medium size guava,"4 chapathi,1/2 cup chana dal,1/2 cup mooli methi sabji,1 glass butter milk","1 cup boiled bengalgram with lemon, 1 cup green tea","3 chapathi, 1/2 cup bhindi sabji, 1 cup vegetable salad",1800 - 2400
High Cholesterol,Tuesday,"3 dosa,1/2 cup sambhar,1tsp methi chutney,1 glass milk(toned)/ 1 cup tea",1 medium size pear,"1 cup rice,2 chapathi,aloo brinjal sabji,1/2 cup tomato dal,1 glass buttermilk","3 Cracker biscuits, 1 cup tea/milk(toned)","3 chapathi(multigrain-wheat;jowar;bajra),lauki methi sabji,1/2 cup vegetable salad",1800 - 2400
