Food Item,Quantity,Total Calories
Broken wheat upma,1,150
Green Chutney,1,20
Vegetable Dosa,2,400
Mint chutney,0.5,15
Bajra dosa,2,360
Sambar,0.5,25
Fingermillet idly,2,240
Tomato chutney,0.5,12.5
Lemon Aval Upma,1,160
Capsicum chutney,1,15
Green gram dosa,2,360
Veg Sambar,0.5,30
Coriander chutney,0.5,12.5
Paratha,2,400
Oats in toned milk,1,200
Rice dosa,3,450
Sambar,0.5,25
Mint chutney,1,20
Vegetable sandwich,1,300
Cucumber,1,10
Tomato,1,15
Onion,1,10
Lettuce,1,5
Broken wheat upma with vegetables,1,200
Toned milk/Tea,1,50
Rice Idly,4,400
Sambar,0.5,25
Coconut chutney,1,30
Toned milk/Tea,1,50
Roasted oats upma with vegetables,1,250
Toned milk/Tea,1,50
Idly,4,240
Sambar,0.5,25
Coconut chutney,1,30
Toned milk/Tea,1,50
Oats in milk,0.5,75
Dosa,3,450
Sambar,0.5,25
Methi chutney,1,20
Toned milk/Tea,1,50
Roasted oats upma with vegetables,1,200
Toned milk/Tea,1,50
Broken wheat upma with vegetables,1,200
Toned milk/Tea,1,50
Paratha with green chutney,2,600
Toned milk/Tea,1,50
Vegetable sandwich,1,300
Cucumber,1,10
Tomato,1,15
Onion,1,10
Spinach/Lettuce,1,5
Toned milk/Tea,1,50
Vangibath,1,250
Toned milk/Tea,1,50
Capsicum rice,1,300
Toned milk/Tea,1,50
Rice dosa,3,450
Sambar,0.5,25
Onion,1,10
Ladies finger,1,30
Bottlegourd,1,20
Tomato chutney,1,25
Toned milk/Tea,1,50
Rice Idly,4,400
Sambar,0.5,25
Onion,1,10
Ladies finger,1,30
Bottlegourd,1,20
Methi chutney,1,20
Toned milk/Tea,1,50
Vermicelli upma,1,200
Toned milk/Tea,1,50
Chapathi,3,450
Capsicum curry,0.5,25
Toned milk/Tea,1,50
Tomato rice,1,250
Methi chutney,2,40
Toned milk/Tea,1,50
Paratha with green chutney,2,600
Toned milk,1,100
Uthappam,3,600
Methi chutney,2,40
Toned milk,1,50
Bajra upma with vegetables,1,200
Toned milk,1,50
Vegetable sandwich,1,300
Cucumber,1,10
Tomato,1,15
Onion,1,10
Spinach/Lettuce,1,5
Toned milk,1,50
Rice dosa,3,450
Sambar,0.5,25
Methi chutney,1,20
Toned milk,1,50
Rice Idly,4,400
Sambar,0.5,25
Coconut chutney,1,30
Toned milk,1,50
Cornflakes in milk,1,200
Idli,4,240
Sambar,0.5,25
Green chutney,1,20
Brown bread slice,2,140
Low fat cheese slice,1,50
Boiled egg white,2,34
Chapathi,3,210
Potato green peas curry,0.5,50
Methi Paratha,2,300
Green chutney,1,20
Vegetable Oats Upma,1,150
Low fat milk,0.5,25
Mixed vegetable Poha,1,150
Low fat milk,0.5,25
Uttapam,2,400
Green chutney,1,20
Idli,3,180
Sambar,0.5,25
Green chutney,1,20
Besan cheela,2,300
Green chutney,1,20
Dosa,3,450
Sambar,0.5,25
Methi chutney,1,20
Milk/Tea,1,50
Roasted oats upma with vegetables,1,200
Milk/Tea,1,50
Broken wheat upma with vegetables,1,200
Milk/Tea,1,50
Paratha with green chutney,2,600
Milk/Tea,1,50
Idly,4,240
Sambar,0.5,25
Coconut chutney,1,30
Milk/Tea,1,50
Oats in milk,0.5,75
Vegetable cheese sandwich,1,300
Cucumber,1,10
Tomato,1,15
Onion,1,10
Milk/Tea,1,50
Besan cheela,2,300
Green chutney,1,20
Low fat cheese slice,1,50
Boiled egg white,1,17
Low fat milk,0.5,25
Idli (rice),4,240
Sambar,0.5,25
Moong dal cheela,3,450
Tomato chutney,1,25
Rice dosa,3,450
Potato masala,0.5,50
Vegetable omelette,1,150
Skim milk,1,50
Vegetable poha,1,150
Skim milk,1,50
Scrambled egg,1,150
Multigrain toasted bread,2,200
Skim milk,1,50
Moong dal cheela with stuffed paneer,2,400
Skim milk,1,50
Paneer sandwich with low fat cheese,1,250
Skim milk,1,50
Soy bean salad,1,200
Skim milk,1,50
Black chana with paneer salad,1,200
Skim milk,1,50
"Boiled Veg. Salad (carrots, broccoli, spring onions, corns)",1,100
Orange juice,1,50
Soy Milk,1,100
Cornflakes,1,100
Ripe Banana,1,100
Veg. Sandwich,2,600
Orange juice,1,50
Boiled Veg. Salad,1,100
"Dalia upma with vegetables (potato, onion, tomato, green peas, carrot)",1.5,300
Milk/Tea,1,50
Oats,0.5,75
Milk,1,50
Idly,4,240
Sambar,0.5,25
Green chutney,2,40
Milk/Tea,1,50
Soya and wheat dosa,3,600
Pudina chutney,2,40
Milk/Tea,1,50
"Roasted oats upma with vegetables (potato, onion, tomato, green peas, carrot)",1.5,300
Paratha (aloo/methi/mooli/gobhi),2,500
Green chutney,2,40
Milk/Tea,1,50
Carrot Soup,1,50
Beetroot and Peas Soup,1,50
Masoor Daal Soup,1,50
Veg Soup,1,50
Cottage Cheese sandwich (2 slice bread),1,300
Skimmed milk,1,50
Chapathi,3,210
Paneer subji,1,150
Soy flour Uthappam,2,400
Coconut chutney,1,30
Skim milk,1,50
Paneer Paratha,2,500
Skim milk,1,50
Mushroom Paratha,2,500
Skim milk,1,50
Moong dal cheela with paneer filling,2,400
Skim milk,1,50
Wheat dosa,2,300
Tofu curry,1,150
Brussels Sprouts,1,50
Green Tea,1,0
"Boiled Veg. Salad (carrots, broccoli, spring onions)",1,50
Green Tea,1,0
Broccoli with Spring Onions n Mushroom soup,1,50
Raisins,3,90
Oats meals with Strawberry,1,200
Green Tea,1,0
Boiled Corns n Carrots,1,50
Green Tea,1,0
Dosa,2,300
Sambar,0.5,25
Methi chutney,1,20
Idly,3,180
Sambar,0.5,25
Coconut chutney,1,30
Milk/Tea,1,50
Vegetable sandwich with whole wheat bread slices,1,300
Cucumber,1,10
Tomato,1,10
Onion,1,10
Spinach/lettuce,1,10
Paratha (aloo/gobhi/methi) with green chutney,2,500
Ragi dosa,3,450
Methi chutney,2,40
"Dalia upma with vegetables (potato, onion, green peas, carrot)",1.5,300
Black tea,1,0
Oats and soya milk with almonds,1,200
Raisins,3,90
Soya flour roti,3,300
Chapathi,3,210
Egg roast or egg curry,1,200
Ragi roti,2,200
Tomato chutney,1,30
Besan cheela,3,450
Green chutney,1,20
Boiled egg,1,70
Mushroom Paratha,2,500
Tomato chutney,1,30
Oats upma,1,200
Boiled egg,1,70
Paneer Paratha,3,900
Green chutney,1,20
Ragi dosa,2,300
Methi chutney,2,40
Milk/Tea,1,50
Egg sandwich,1,300
Eggs,2,140
Milk/Tea,1,50
Oats and milk porridge,1,200
"Roasted oats upma with vegetables (potato, onion, tomato, green peas, carrot)",1,200
Milk/Tea,1,50
Omelette,2,300
Milk/Tea,1,50
Buttermilk,1,50
Tomato Soup,1,50
Cucumber,1,10
Green tea,1,0
Vegetable soup,1,50
Cucumber slices,1,10
Katori,1,0
Banana,1,100
Watermelon,1,30
Pomegranate,1,80
Apple,1,52
Musk melon,1,34
Pear,1,57
Guava,1,68
Apple,1,52
Pear,1,57
Jambu fruits/strawberries,1,32
Pineapple,1,50
Musk melon,100,3400
Papaya,100,4300
Watermelon,100,3000
Pea,1,3
Pineapple,100,5000
Orange,1,47
Green gram sprouts,1,26
Portion of fruit,1,0
Jack fruit,1,95
Mango,1,60
Chikku,1,83
Boiled black channa,0.5,60
Plain yogurt with raw vegetables/grilled vegetables,1,70
